titulo,empresa,data,link
Promotor(a) de Vendas Externas - Seg A Sex,Vaga Confidencial,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461658/promotora-de-vendas-externas-seg-a-sex/maringa/pr
Quer Folgar Sábado e Domingo? Vem Para Vendas Externas!,Vaga Confidencial,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461657/quer-folgar-sabado-e-domingo-vem-para-vendas-externas/maringa/pr
Balconista,Casa dos Parafusos,"
                    30/06/2025",
Vaga Para Profissional de Alta Performance Mercado Financeiro,MGA Capital,"
                    01/07/2025",
Arte Finalista,Copiadora Tavares,"
                    01/07/2025",
Auxiliar de Projetos,Long Life Pro,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461661/auxiliar-de-projetos/paicandu/pr
Vendedor(a),Cacau Show,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461651/vendedora/maringa/pr
Secretariado para Área Comercial Vendas de Produtos e Serviços pelas Redes Sociais,Number One,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461656/secretariado-para-Area-comercial-vendas-de-produtos-e-servicos-pelas-redes-sociais/mandaguacu/pr
Assistente de Loja Intermitente - Shopping,Lojas Renner,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461649/assistente-de-loja-intermitente-shopping/maringa/pr
Auxiliar de Limpeza,Panificadora Veneza,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461644/auxiliar-de-limpeza/sarandi/pr
Social Media,Eliandro Correa Fotografo,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461643/social-media/maringa/pr
Recepção Academia - Vendas,Muque Maringá,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461632/recepcao-academia-vendas/maringa/pr
Analista de Escrita Fiscal - Escritorio de Contabilidade,Connute Contabilidade,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461642/analista-de-escrita-fiscal-escritorio-de-contabilidade/maringa/pr
Auxiliar de Escrita Fiscal - Escritorio Contabil,Escritorio Sao Paulo,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461641/auxiliar-de-escrita-fiscal-escritorio-contabil/maringa/pr
Auxilar de Cozinha Geral,Goen Propaganda,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461650/auxilar-de-cozinha-geral/maringa/pr
Eletricista Automotivo Comercial,Auto Eletrica e Baterias Kato,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461646/eletricista-automotivo-comercial/maringa/pr
Eletricista Automotivo,Ben Car,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461645/eletricista-automotivo/maringa/pr
Mecanico,Du Vally Auto Center,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461639/mecanico/maringa/pr
Vendedor Sênior - Grandes Contas - Ramo Alimentício,Melo & Camargo Soluções Empresariais,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461634/vendedor-senior-grandes-contas-ramo-alimenticio/maringa/pr
Auxiliar Administrativo/ Pecista,Injemax Mecanica Multimarcas,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/395555/auxiliar-administrativo-pecista/maringa/pr
Vendedor ( A ),OG 2.0,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461655/vendedor-a/maringa/pr
Operador(a) de Caixa,Bembom Atacadista,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461637/operadora-de-caixa/maringa/pr
Recepção,Odontologia Dr. Leandro Santos ,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/410527/recepcao/maringa/pr
Montagem de copos de açaí,Açaí Mix,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/408579/montagem-de-copos-de-acai/sarandi/pr
Polidor,OG 2.0,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461654/polidor/maringa/pr
Recepção de Hotel,Elo Hotel,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/407827/recepcao-de-hotel/maringa/pr
Vaga: Atendente de Restaurante Drive - Méqui Catedral,Mc Donald's,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461648/vaga-atendente-de-restaurante-drive-mequi-catedral/maringa/pr
Mcs - Atendente de Lanchonete -  Mc Donald's Shopping Catuaí,Mc Donald's,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461640/mcs-atendente-de-lanchonete-mc-donalds-shopping-catuai/maringa/pr
Mcs Mcdonald's - Shopping Mandacaru - Atendente de Lanchonete,Mc Donald's,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461638/mcs-mcdonalds-shopping-mandacaru-atendente-de-lanchonete/maringa/pr
Zeladoria,Coach Fitness,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/450721/zeladoria/maringa/pr
Estagiario Academia,Muque Maringá,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461636/estagiario-academia/maringa/pr
Auxiliar de Expedição,Fa Maringá,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461653/auxiliar-de-expedicao/maringa/pr
Operador de Máquina 12x36,Fa Maringá,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461652/operador-de-maquina-12x36/maringa/pr
Pizzaiolo,Donna Pizza ,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461647/pizzaiolo/maringa/pr
Vendedor Closer,Vaga Confidencial,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461635/vendedor-closer/maringa/pr
Vendedor(a) - Interno Televendas,Oter,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/461633/vendedora-interno-televendas/maringa/pr
Assistente de Sac / Marketplaces,Humana Soluções Estratégicas Em Rh,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/460016/assistente-de-sac-marketplaces/maringa/pr
Estágio em Engenharia Civil / Arquitetura,Mosali,"
                    07/07/2025",https://empregos.maringa.com/vaga-emprego/409183/estagio-em-engenharia-civil-arquitetura/maringa/pr
confeiteiro(a) Amigao Bento Munhoz,Amigão Supermercados,"
                    06/07/2025",https://empregos.maringa.com/vaga-emprego/461157/confeiteiroa-amigao-bento-munhoz/maringa/pr
