titulo,empresa,data,link
Instalador de Acessórios Automotivos Com Experiência,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461569/instalador-de-acessorios-automotivos-com-experiencia/maringa/pr
Auxiliar de Montagem - Estrutura Metálicas,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461580/auxiliar-de-montagem-estrutura-metalicas/maringa/pr
Promotor de Vendas Externas,Ired Telecom,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461568/promotor-de-vendas-externas/maringa/pr
Assistente Comercial - Próxima A Paiçandu,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461577/assistente-comercial-proxima-a-paicandu/maringa/pr
Vendedor (a) Interno (a) - Segmento Marcenaria,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461576/vendedor-a-interno-a-segmento-marcenaria/maringa/pr
Caixa - Shopping,Bonny Concept,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461588/caixa-shopping/maringa/pr
Assistente Consultor - Agência de Empregos Para O Japão,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461574/assistente-consultor-agencia-de-empregos-para-o-japao/maringa/pr
Auxiliar de Cozinha - Restaurante/pizzaria,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461578/auxiliar-de-cozinha-restaurantepizzaria/maringa/pr
Consultor(a) de Vendas B2b Tecnologia Avançada,Bitsafe Soluções em Ti,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461570/consultora-de-vendas-b2b-tecnologia-avancada/maringa/pr
Camareira de Motel - 6x1 - Noturno e Diurno,Tenda Motel,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461581/camareira-de-motel-6x1-noturno-e-diurno/maringa/pr
Operador de Máquina de Corte A Laser - Confecções,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461572/operador-de-maquina-de-corte-a-laser-confeccoes/maringa/pr
Bacharel em Direito Ou Estagiário em Direito,Colombari Sociedade Individual de Advocacia,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461547/bacharel-em-direito-ou-estagiario-em-direito/maringa/pr
Consultor(a) Comercial,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461548/consultora-comercial/maringa/pr
Técnico de Manutenção em Ar Condicionado,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/432072/tecnico-de-manutencao-em-ar-condicionado/maringa/pr
Açougueiro,V. Guimaraes Martins,"
                    03/07/2025",
Vendedora Com Experiência em Vestidos de Noivas,Maison Tressoldi Noivas ,"
                    01/07/2025",
Analista/assistente Fiscal,Gerencia One,"
                    04/07/2025",
Auxiliar de Manutenção de Pátio e Jardinagem,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461546/auxiliar-de-manutencao-de-patio-e-jardinagem/maringa/pr
Vendedor - Loja de Móveis de Alto Padrão,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461567/vendedor-loja-de-moveis-de-alto-padrao/maringa/pr
Sdr - Assistente Comercial,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461549/sdr-assistente-comercial/maringa/pr
Caixa de Loja - Mecânica,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461561/caixa-de-loja-mecanica/maringa/pr
Caixa - Loja ( Artesanatos),Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461551/caixa-loja-artesanatos/maringa/pr
Inspetor(a) Alunos,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461560/inspetora-alunos/maringa/pr
Assistente Secretariado,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461559/assistente-secretariado/maringa/pr
Arte Finalista (marketing),Lejon  Auto Serviço,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461571/arte-finalista-marketing/maringa/pr
Operador Máquinas - Embalagens - Paiçandu,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461566/operador-maquinas-embalagens-paicandu/maringa/pr
Analista de Marketing - Espécie (monogástricos) - Multinacional,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461565/analista-de-marketing-especie-monogastricos-multinacional/maringa/pr
Técnico Mecânico P/ Multinacional - São Pedro do Ivaí/pr,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461564/tecnico-mecanico-p-multinacional-sao-pedro-do-ivaipr/sao-pedro-do-ivai/pr
Recepção Clínica - Horário Comercial Com Sábados Alternados,Hospital Almodin Ltda,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461563/recepcao-clinica-horario-comercial-com-sabados-alternados/maringa/pr
Esteticista Nível Superior,Magrass,"
                    05/07/2025",
Contrata - Analista Fiscal,Escomar Contabilidade ,"
                    03/07/2025",
Gerente Para Food Truck - Inicio Imediato,Ice Churros,"
                    03/07/2025",
Técnico de Informática - Cnh Ab,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461562/tecnico-de-informatica-cnh-ab/maringa/pr
Analista Fiscal/contábil,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461558/analista-fiscalcontabil/maringa/pr
Mecânico Linha Leve,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461557/mecanico-linha-leve/maringa/pr
Instalador de Insulfilm,Vaga Confidencial,"
                    04/07/2025",
Consultor de Vendas - Carros Seminovos,Noma Motors,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461555/consultor-de-vendas-carros-seminovos/maringa/pr
Assistente de Dados/ E-commerce,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461554/assistente-de-dados-e-commerce/maringa/pr
Auxiliar de Serviços Gerais,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461553/auxiliar-de-servicos-gerais/maringa/pr
Motorista de Caminhão Guincho/plataforma,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461552/motorista-de-caminhao-guinchoplataforma/maringa/pr
Operador de Torno Cnc,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461545/operador-de-torno-cnc/maringa/pr
Analista de Sistema - Analise Clinica,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461544/analista-de-sistema-analise-clinica/maringa/pr
Auxiliar de Lanoratório,Vaga Confidencial,"
                    04/07/2025",
Estágio em Engenharia Elétrica,Enjoy RH,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/460137/estagio-em-engenharia-eletrica/maringa/pr
Instrutor de Trânsito,Auto Escola Sarandi,"
                    04/07/2025",
Vaga de Financeiro em Distribuidora de Acessórios Automotivos e Moto Peças,Fx Distribuidora,"
                    04/07/2025",
Técnico Cabeamento Estruturado e Infraestrutura de Rede,Vaga Confidencial,"
                    30/06/2025",
Professor(a) de Alemão,E-sanches Agencia de Empregos,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/456528/professora-de-alemao/maringa/pr
Analista/assistente Fiscal,Gerencia One,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461586/analistaassistente-fiscal/maringa/pr
Instrutor de Trânsito,Auto Escola Sarandi,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461550/instrutor-de-transito/sarandi/pr
Higienizador de Carros,Localiza Rent A Car,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461540/higienizador-de-carros/belo-horizonte/mg
Empregada Doméstica - Zona 7,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461542/empregada-domestica-zona-7/maringa/pr
Costureira(o) - 05 Vagas,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461535/costureirao-05-vagas/maringa/pr
Vendedor(a) Interna/ Pré-vendas,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461537/vendedora-interna-pre-vendas/maringa/pr
Doméstica - Zona 08,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461538/domestica-zona-08/maringa/pr
Soldador / Montador Para Gabaritos,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461541/soldador-montador-para-gabaritos/maringa/pr
Motorista Líder,Vitta Logistica ,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461539/motorista-lider/maringa/pr
Soldador / Montador,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461536/soldador-montador/maringa/pr
Soldador - Mig,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461534/soldador-mig/maringa/pr
Vendedor(a) de E-commerce e Atendimento Presencial,Maloa.Store,"
                    30/06/2025",
Operador de loja Franquia - Shopping,Spoleto,"
                    05/07/2025",
Zelador (a)/ Faxineiro (a),Vaga Confidencial,"
                    03/07/2025",
Montador de Veículos,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/234159/montador-de-veiculos/maringa/pr
Operador(a) de Máquinas - Indústria,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461532/operadora-de-maquinas-industria/maringa/pr
Cortador(a) - Confecções,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461533/cortadora-confeccoes/maringa/pr
Doméstica - Casa Zona 7,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461531/domestica-casa-zona-7/maringa/pr
Atendente de Padaria (segunda À Sábado),Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461530/atendente-de-padaria-segunda-A-sabado/maringa/pr
Assistente Administrativo,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461527/assistente-administrativo/maringa/pr
Auxiliar Administrativo,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461525/auxiliar-administrativo/maringa/pr
Assistente de Locação - Morangueira,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461526/assistente-de-locacao-morangueira/maringa/pr
Vendedor(a) Externo P/ Umuarama - Alimentos,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461524/vendedora-externo-p-umuarama-alimentos/umuarama/pr
Estagiário(a) Design de Conteúdo,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461529/estagiarioa-design-de-conteudo/maringa/pr
Analista de Design de Conteúdo,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461528/analista-de-design-de-conteudo/maringa/pr
Auxiliar de Depósito - Ferragens - Sarandi,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461523/auxiliar-de-deposito-ferragens-sarandi/maringa/pr
Auxiliar de Serviços Gerais - Limpeza,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461522/auxiliar-de-servicos-gerais-limpeza/maringa/pr
Zeladoria,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461521/zeladoria/maringa/pr
Vendedor(a) Externo - Ramo Acabamentos,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461507/vendedora-externo-ramo-acabamentos/maringa/pr
Assistente de Departamento Pessoal,Ingá Import,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461515/assistente-de-departamento-pessoal/maringa/pr
Auxiliar de Instalador de Ar Condicionado,Talentbank Agência de Talentos,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461508/auxiliar-de-instalador-de-ar-condicionado/maringa/pr
Auxiliar de Produção P/ Multinacional - 15 Vagas (escala 06x02),Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461519/auxiliar-de-producao-p-multinacional-15-vagas-escala-06x02/maringa/pr
Analista de Logística P/ Multinacional,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461518/analista-de-logistica-p-multinacional/maringa/pr
Assistente  de Monitoramento,Bmg Transportes,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461517/assistente-de-monitoramento/iguaracu/pr
Consultor(a) de Vendas - Concessionária (veículos Novos),Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461516/consultora-de-vendas-concessionaria-veiculos-novos/maringa/pr
Auxiliar de Estoque - Região Central de Maringá,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461514/auxiliar-de-estoque-regiao-central-de-maringa/maringa/pr
Auxiliar de Estoque P/ Multinacional,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461513/auxiliar-de-estoque-p-multinacional/maringa/pr
Analista de Qualidade P/ Multinacional - São Pedro do Ivaí,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461512/analista-de-qualidade-p-multinacional-sao-pedro-do-ivai/sao-pedro-do-ivai/pr
Zelador(a)- Amigão Palmeiras,Amigão Supermercados,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461511/zeladora-amigao-palmeiras/maringa/pr
Motorista Entregador - Cnh C,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461510/motorista-entregador-cnh-c/maringa/pr
Açougueiro- Amigão Palmeiras,Amigão Supermercados,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461509/acougueiro-amigao-palmeiras/maringa/pr
Técnica de Enfermagem/cuidadora,Clínica Divino Espaço ,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/426366/tecnica-de-enfermagemcuidadora/maringa/pr
Depiladora,Espaço Andressa Muniz,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461485/depiladora/maringa/pr
Atendente de Sorveteria,Grupo Carmel,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461506/atendente-de-sorveteria/maringa/pr
Professor(a) de Educação Infantil,Centro de Educação Infantil Primeiro Tempo,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461500/professora-de-educacao-infantil/maringa/pr
Recepção Hotel,Hotel King Konfort,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461492/recepcao-hotel/maringa/pr
Auxiliar de Estoque,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461505/auxiliar-de-estoque/maringa/pr
Auxiliar de Escritório - Faturamento,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461487/auxiliar-de-escritorio-faturamento/maringa/pr
Auxiliar Administrativo/financeiro,Macedo Logística,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461497/auxiliar-administrativofinanceiro/maringa/pr
Auxiliar de Estoque (vaga Exclusiva Para Pcd),Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461504/auxiliar-de-estoque-vaga-exclusiva-para-pcd/maringa/pr
Arte Finalista/atendente,RM Digital,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/252348/arte-finalistaatendente/maringa/pr
Estagiário de Administração,Imobiliaria Herval,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461495/estagiario-de-administracao/maringa/pr
Consultor - Inicio Imediato,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461503/consultor-inicio-imediato/maringa/pr
Atendente - Dispensação,Qualidade Total Farmácia de Manipulação,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461502/atendente-dispensacao/maringa/pr
Vendedor(a),Rhf Talentos,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461501/vendedora/maringa/pr
Assistente Financeiro,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461499/assistente-financeiro/maringa/pr
Técnico(a) de Enfermagem,Hoftalmar,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461498/tecnicoa-de-enfermagem/maringa/pr
Consultor (a) de Vendas,O Boticario,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461496/consultor-a-de-vendas/loanda/pr
Montador de Veículos,Vaga Confidencial,"
                    04/07/2025",
Analista Ambiental,Conambe,"
                    03/07/2025",
Copa Suja,Agua Doce Cachacaria,"
                    02/07/2025",
Analista Financeiro(a),Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461494/analista-financeiroa/maringa/pr
Coordenador(a) Financeiro,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461493/coordenadora-financeiro/maringa/pr
Sdr (representante de Desenvolvimento de Vendas),Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461491/sdr-representante-de-desenvolvimento-de-vendas/maringa/pr
Recepção,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461490/recepcao/maringa/pr
Vendedor(a) Atacadista,Leonfer Atacado,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461489/vendedora-atacadista/maringa/pr
Vendedor - Inicio Imediato,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461488/vendedor-inicio-imediato/maringa/pr
Assistente de Logística,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461486/assistente-de-logistica/maringa/pr
Vaga de Emprego Para Pintor Industrial,Frota Carrocerias e Reformas,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461482/vaga-de-emprego-para-pintor-industrial/mandaguacu/pr
A Procura de Um Rh,Gouveia,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461484/a-procura-de-um-rh/maringa/pr
Costureira(o) Modinha - Sarandi,Principiu's Rh - Gestão de Pessoas,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461483/costureirao-modinha-sarandi/sarandi/pr
Consultor de Vendas Externo,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461481/consultor-de-vendas-externo/sarandi/pr
Primeiro Emprego - Inicio Imediato,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461480/primeiro-emprego-inicio-imediato/maringa/pr
Atendente,Ortopedia Brasil,"
                    02/07/2025",
Balconista,Casa dos Parafusos,"
                    30/06/2025",
Vaga Para Profissional de Alta Performance Mercado Financeiro,MGA Capital,"
                    01/07/2025",
Costureira(o) - Retista,Alce,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461479/costureirao-retista/maringa/pr
Vaga de Emprego - Setor de Limpeza (escala 12x36),Maringa Futebol Clube - MFC,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461474/vaga-de-emprego-setor-de-limpeza-escala-12x36/maringa/pr
Servente de Limpeza - 44 Hrs Semanais,Grupo Preserve,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461478/servente-de-limpeza-44-hrs-semanais/maringa/pr
Desenhista Técnico,Planti Center,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461477/desenhista-tecnico/marialva/pr
Assistente Fiscal/contabil,Assecon Contabilidade,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461468/assistente-fiscalcontabil/maringa/pr
Auxiliar Administrativo - Av Alexandre Rasgulaeff,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461472/auxiliar-administrativo-av-alexandre-rasgulaeff/maringa/pr
Inspetor de Qualidade (conhecimento em Usinagem),Planti Center,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461476/inspetor-de-qualidade-conhecimento-em-usinagem/marialva/pr
Soldador,Planti Center,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461475/soldador/marialva/pr
Técnico de Segurança do Trabalho,Planti Center,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461473/tecnico-de-seguranca-do-trabalho/marialva/pr
Auxiliar de Produção,Planti Center,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461471/auxiliar-de-producao/marialva/pr
Manobrista Para Estacionamento - Operador de Pátio,Espaço Park,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461469/manobrista-para-estacionamento-operador-de-patio/maringa/pr
Assistente Técnico - Carga e Descarga,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461466/assistente-tecnico-carga-e-descarga/maringa/pr
Costureira(o) - Retista,Alce,"
                    04/07/2025",
Auxiliar de Cozinha,Agua Doce Cachacaria,"
                    01/07/2025",
Contrata - Analista Fiscal,Escomar Contabilidade ,"
                    03/07/2025",
Servente de Limpeza - Shopping,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461470/servente-de-limpeza-shopping/maringa/pr
Costureira(o),Alto Giro,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461467/costureirao/maringa/pr
Atendente (salário+benefícios: 2.700$),Gior Gelatos,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461463/atendente-salariobeneficios-2700/maringa/pr
Soldador/metalúrgico,Expresso Carga,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461457/soldadormetalurgico/maringa/pr
Vendedor(a) - Joalheria,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461462/vendedora-joalheria/maringa/pr
Atendente e Serviços Gerais,Murano,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461464/atendente-e-servicos-gerais/maringa/pr
Consultor de Vendas Pj - Seguros,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461465/consultor-de-vendas-pj-seguros/maringa/pr
Auxiliar de Produção - Montagem de Estruturas Metálicas,Job Soluções,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461461/auxiliar-de-producao-montagem-de-estruturas-metalicas/maringa/pr
Assistente de Estoque,Qualitta Food Service,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461460/assistente-de-estoque/maringa/pr
Lubrificador Industrial,Planti Center,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461459/lubrificador-industrial/marialva/pr
Zeladoria,Alfazema Farmácia de Manipulação ,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461454/zeladoria/maringa/pr
Operador (a) de Caixa 14:00 As 20:15,Açougue Unidos,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461458/operador-a-de-caixa-1400-as-2015/maringa/pr
Analista/assistente Fiscal,Gerencia One,"
                    04/07/2025",
Repositor Loja Varejo,Vaga Confidencial,"
                    01/07/2025",
Técnico Cabeamento Estruturado e Infraestrutura de Rede,Vaga Confidencial,"
                    30/06/2025",
Vendedor(a) Shopping Noturno,Amarelo Manga,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461453/vendedora-shopping-noturno/maringa/pr
Secretario(a) Academia - Zona 7,Enjoy RH,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461452/secretarioa-academia-zona-7/maringa/pr
Auxiliar de Serviços Gerais,Juraci Tortas,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461440/auxiliar-de-servicos-gerais/maringa/pr
Professor(a) de Letras (português- Inglês) - Meio Período,Enjoy RH,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461455/professora-de-letras-portugues-ingles-meio-periodo/maringa/pr
Auxiliar de Departamento Pessoal,Planti Center,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461456/auxiliar-de-departamento-pessoal/marialva/pr
Vendedor(a)- Shopping Maringá Park- Seguimento de Calçados,Enjoy RH,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461451/vendedora-shopping-maringa-park-seguimento-de-calcados/maringa/pr
Auxiliar de Licitação,Multihosp / Licite - Saude ,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461450/auxiliar-de-licitacao/maringa/pr
Auxiliar de Estoque,M2serv,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461447/auxiliar-de-estoque/maringa/pr
Auxiliar de Limpeza em Hotelaria,Hotel Metrópole Maringá,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461449/auxiliar-de-limpeza-em-hotelaria/maringa/pr
Camareira de Hotel,Hotel Metrópole Maringá,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461448/camareira-de-hotel/maringa/pr
Recepção,Ademicon Teixeira Mendes,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461419/recepcao/maringa/pr
Manutencionista,Hotel Metrópole Maringá,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461444/manutencionista/maringa/pr
Assistente de Eventos em Hotelaria,Hotel Metrópole Maringá,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461443/assistente-de-eventos-em-hotelaria/maringa/pr
Garçom em Hotelaria Com Experiência,Hotel Metrópole Maringá,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461445/garcom-em-hotelaria-com-experiencia/maringa/pr
Auxiliar de Expedição,Olimpio Equipamentos,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461442/auxiliar-de-expedicao/maringa/pr
Assistente de Pós Vendas - Chanson,Grupo Zacarias Veículos,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461446/assistente-de-pos-vendas-chanson/maringa/pr
Atendente Av. São Paulo,Grupo Carmel,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461439/atendente-av-sao-paulo/maringa/pr
Auxiliar de Produção,Jsa Foods,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/376631/auxiliar-de-producao/maringa/pr
Zeladoria,Fratelli House,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461404/zeladoria/maringa/pr
Atendente Cafeteria/loja - Shopping,Chocolates Lugano,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461412/atendente-cafeterialoja-shopping/maringa/pr
Auxiliar de Almoxerifado,Agrobrasilchemical,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461418/auxiliar-de-almoxerifado/mandaguari/pr
Social Midia,Cresci e Perdi,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461414/social-midia/maringa/pr
Atendente,Panvel Farmácias ,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461403/atendente/maringa/pr
Estagio em Educação Fisica,Clinica Axis Core ,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461429/estagio-em-educacao-fisica/maringa/pr
Cortador - Máquina Manual de Enfesto Serra Fita,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461435/cortador-maquina-manual-de-enfesto-serra-fita/maringa/pr
Costureiro(a),Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461427/costureiroa/maringa/pr
Analista de Departamento Pessoal,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461421/analista-de-departamento-pessoal/maringa/pr
Auxiliar de Produção - Noturno,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461428/auxiliar-de-producao-noturno/maringa/pr
Auxiliar de Lavanderia - Hotel,Goldmen Hotel Maringa,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461416/auxiliar-de-lavanderia-hotel/maringa/pr
Atendente Cafeteria/loja - Shopping,Lugano Maringá,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461409/atendente-cafeterialoja-shopping/maringa/pr
Auxiliar de Serviços Gerais,Vaga Confidencial,"
                    04/07/2025",https://empregos.maringa.com/vaga-emprego/461438/auxiliar-de-servicos-gerais/maringa/pr
